Title,Link,Channel Name,Channel Link,Subscriber Count,Category,Views,Likes,DislikesDrDisrespect shows why he is the SNIPER GOD in ANY GAME,https://www.youtube.com/watch?v=gF7TSlGv6no&fbclid=IwAR3u-MSia_FTkm1D9hZuQ4w1gxOApAHC08gRv7XFtsfNZ0Z-q-3KiVTmuhk,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"15,824","1,963",27
Every NBA Team's Best Play Of The Decade,https://www.youtube.com/watch?v=pS036KpTis0,NBA,www.youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ,13.3M,None,"2,291,547","33,074",727
2020 NBA Slam Dunk Contest - ALL 50 POINT DUNKS,https://www.youtube.com/watch?v=cGPK2N81dbs,House of Highlights,www.youtube.com/channel/UCqQo7ewe87aYAe7ub5UqXMw,2.25M,None,"826,901","5,450",234
10 Greatest Signature Moves In NBA History!,https://www.youtube.com/watch?v=SKPostNgEqI,Andy Hoops,www.youtube.com/channel/UC8YobflSXeylcN6vg99IPAw,334K,None,"12,020,981","64,439","5,340"
#ATTSlamDunk Contest | 2020 NBA All-Star | Full Highlights,https://www.youtube.com/watch?v=x8TS9if_etk,NBA,www.youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ,13.3M,None,"451,676","5,285",575
Stephen A. loves the Kobe-inspired changes to the NBA All-Star Game format | First Take,https://www.youtube.com/watch?v=ZwlKyUdUqP4,#18 on Trending,www.youtube.com/feed/trending,6.61M,None,"542,487","8,770",193
2020 NBA All-Star Game - LAST 5 MINUTES,https://www.youtube.com/watch?v=BMuh1hZ0764,House of Highlights,www.youtube.com/channel/UCqQo7ewe87aYAe7ub5UqXMw,2.25M,None,"821,405","9,912",303
2020 NBA Slam Dunk Contest - Round 1 - Full Highlights - 2020 NBA All-Star Saturday Night,https://www.youtube.com/watch?v=wT_RDoX3avU,House of Highlights,www.youtube.com/channel/UCqQo7ewe87aYAe7ub5UqXMw,2.25M,None,"2,195,421","22,217",787
The Top 100 Plays of the 2016-2017 NBA Season,https://www.youtube.com/watch?v=ecjq2jyT7B8,NBA,www.youtube.com/channel/UCWJ2lWNubArHWmf3FIHbfcQ,13.3M,None,"796,133","5,575",198
Kobe Bryant vs Michael Jordan Highlights (2003 All-Star Game) - Kobe Farewell Jordan!,https://www.youtube.com/watch?v=-19hK8TF-GY,MJ23 His Airness Forever,www.youtube.com/channel/UCxeoDNuApdMcmL3WUFoki2A,60.1K,None,"2,121,975","14,256",683
2020 NBA All-Star Game - INTENSE 4th Quarter Full Highlights,https://www.youtube.com/watch?v=K9RteI0BE7c,House of Highlights,www.youtube.com/channel/UCqQo7ewe87aYAe7ub5UqXMw,2.25M,None,"1,292,443","11,852",374
Shroud Going Hardcore Fresh Start New Account - Escape from Tarkov,https://www.youtube.com/watch?v=hKrnQy4tFhE,In the Game,www.youtube.com/channel/UC3eQSmQrbZdu1YFWjmiNLUg,None,None,"949,123","9,351",692
Doc's Funniest Game Ever on PUBG with Random Kid!,https://www.youtube.com/watch?v=FHkcnxp4250,Best Twitch Moments,www.youtube.com/channel/UCqpnY6vL5z__s630z9hSy1w,351K,None,"6,774,326","53,259","7,416"
Summit1g $30 Million Escape from Tarkov Run! (EFT $30 Million Summit1g),https://www.youtube.com/watch?v=wXcnV8pg1Ws,Summm Memes,www.youtube.com/channel/UCDdolnLE6LbWfONeoKvxWOA,40.6K,None,"555,894","7,148",381
SHROUD REACTS TO *Over 20mins of DrDisRespect rants and rage* by GABstract Podcast,https://www.youtube.com/watch?v=UHNPKQJb74M,TwitchReacts,www.youtube.com/channel/UCEqOF1B64en-iPpvMn31oow,193K,None,"1,792,266","21,560",872
At The Limit! - Escape From Tarkov,https://www.youtube.com/watch?v=b_CaZQ4bqO4,Anton,www.youtube.com/channel/UCAn1oI-WE2wiEtnAk0dMohw,99.5K,None,"54,809","1,666",43
Summit1g Funniest GTA 5 RP Moments Of 2019 (Charles Johnson GTA 5 RP 2019) (Part 1/2),https://www.youtube.com/watch?v=fLiA1ZghSY0,Funny Gaming Videos,www.youtube.com/channel/UC10-zX7dHjuoxLqE4wFsn8A,12.7K,None,"58,215",461,27
Four Billion Followers. Four Years.,https://www.youtube.com/watch?v=y1JecP8vr1o,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"155,815","8,700",116
DrDisRespect's Funniest Moments of All Time 2017-2019 ~ Best DrDisRespect Moments #109,https://www.youtube.com/watch?v=_NUxsfpY1uU,DrDisRespect and Shroud Clips,www.youtube.com/channel/UCwyaCn9xINXnoq_wJZFPnJw,42.1K,None,"366,725","4,672",142
Shroud 1.2 Million Run On Labs - Escape From Tarkov,https://www.youtube.com/watch?v=_gh2wtRrHts,In the Game,www.youtube.com/channel/UC3eQSmQrbZdu1YFWjmiNLUg,None,None,"458,037","3,955",298
Yassuo | ARE WE THE BEST TEAM IN TWITCH RIVALS?!? (Twitch Rivals Scrims),https://www.youtube.com/watch?v=GhGZhJaLACk,Yassuo,www.youtube.com/channel/UCO4NTLDIYKEV_sEwjZq7ghw,1.41M,None,"181,166","9,141",106
Shroud Best Raid Of The Day 24000 Xp Escape from Tarkov,https://www.youtube.com/watch?v=wKdmgFmkW2A,In the Game,www.youtube.com/channel/UC3eQSmQrbZdu1YFWjmiNLUg,None,None,"174,712","1,282",126
DrDisRespect's 31-KiII Game on PUBG with Shroud (DrDisRespect and Shroud Best PUBG Game),https://www.youtube.com/watch?v=XNQb7dbNHKc,Best Twitch Moments,www.youtube.com/channel/UCqpnY6vL5z__s630z9hSy1w,351K,None,"1,380,485","10,679",670
DrDisRespect's Most Viewed Twitch Clips of All Time!,https://www.youtube.com/watch?v=q8_-btEvkqY,Best Twitch Moments,www.youtube.com/channel/UCqpnY6vL5z__s630z9hSy1w,351K,None,"3,024,152","41,890","1,872"
Shroud Squad Top Streamers - Escape From Tarkov,https://www.youtube.com/watch?v=34tF2UR6cYg,In the Game,www.youtube.com/channel/UC3eQSmQrbZdu1YFWjmiNLUg,None,None,"190,499",896,92
"Doc shows Shroud, Summit1G and the boys how its done in Tarkov",https://www.youtube.com/watch?v=pVAWJ17P-CU,DrDisRespect,www.youtube.com/channel/UCcJL2ld6kxy_nuV1u7PVQ0g,1.4M,None,"352,071","10,621",232
DR DISRESPECT MEGA RAGE COMPILATION 2019,https://www.youtube.com/watch?v=okDN_CY5RNc,CHAMPIONS CLUB,www.youtube.com/channel/UCwFgZQ4rmtp4VbKvapwksIQ,None,None,"853,697","13,383",391
Shroud Million Dollar Scav Reserve Run - Escape From Tarkov,https://www.youtube.com/watch?v=lS0mDTukusY,In the Game,www.youtube.com/channel/UC3eQSmQrbZdu1YFWjmiNLUg,None,None,"166,071","1,191",204
Summit1g REACTS Escape from Tarkov Twitch Clips,https://www.youtube.com/watch?v=bJsIJnqFhd0,Summm Memes,www.youtube.com/channel/UCDdolnLE6LbWfONeoKvxWOA,40.6K,None,"155,903","1,114",61
T7 Thermals - The Most Powerful Item in Escape from Tarkov,https://www.youtube.com/watch?v=aVZomL4c3OM,DeadlySlob,www.youtube.com/channel/UCvG50sPKoj869ml1jgA1RJg,214K,None,"126,643","3,046",124
Shroud Hardcore Jimmy New Account Progress #5 - Escape from Tarkov,https://www.youtube.com/watch?v=iggB5wkQYCQ,In the Game,www.youtube.com/channel/UC3eQSmQrbZdu1YFWjmiNLUg,None,None,"133,008","1,050",55
The History of Dr DisRespect - Twitch Superstar | The History of ESPORTS (PUBG H1Z1 COD),https://www.youtube.com/watch?v=I9e_85TuaBA,Slush,www.youtube.com/channel/UCuRf8qJbWGYrxIxzNagoOCA,65.7K,None,"2,783,656","73,036","2,191"
Over 20mins of DrDisRespect rants and rage,https://www.youtube.com/watch?v=Jjmqkq10kxY,GABstract Podcast,www.youtube.com/channel/UCS0JGHhEvX5fC75XqSBECbQ,None,None,"744,910","9,973",562
DrDisrespect & Shroud BOTH RAGE QUIT PUBG After STRUGGLING With Stream Snipers!,https://www.youtube.com/watch?v=XhjmkB1wwwY,The2Time,www.youtube.com/channel/UChYdOM1Qgzj9jnKrFWRBj8Q,42.5K,None,"350,643","3,481",259
"Summit Gets REPORTED by ""Streamer""! (Sea of Thieves Summit1g Trolling PVE Players)",https://www.youtube.com/watch?v=bO4su-hgvDI,Summm Memes,www.youtube.com/channel/UCDdolnLE6LbWfONeoKvxWOA,40.6K,None,"688,504","5,190","1,032"
